case,n_qubits,noise_std,batch_size,steps,smoothing_scale,old_fidelity,old_measurement_loss,old_tp_violation,new_fidelity,new_measurement_loss,new_tp_violation
n4_beta10,4,0.05,32,10000,10,0.012834101718288167,0.00367531142332344,0.0024497163438790418,0.41923476309086777,0.0022133953507616363,0.021352696178135365
n4_beta100,4,0.05,32,10000,100,0.9965610261894023,0.001264014073921137,0.0021841748233059647,0.9966891750887659,0.0012662843382009199,0.020498338692559872
n4_beta1000,4,0.05,32,10000,1000,0.9938593488306557,0.0012768187836330637,0.012204084853722114,0.9669447544369659,0.0013603820771947157,0.023710236544864507
n4_beta10000,4,0.05,32,10000,10000,0.9942916112696522,0.0012774716827579575,0.0982632110828267,0.9622095198548426,0.0013723105875683374,0.1708793815677884
n5_beta10,5,0.05,32,10000,10,0.001098494494866273,0.0020622275079428677,0.002092088151544692,0.009728842891245629,0.002178535521895915,0.01842131426474859
n5_beta100,5,0.05,32,10000,100,0.08796538396126186,0.0019006669889007175,0.002753546037132937,0.09127248268282974,0.0018910953037246767,0.02082830349777899
n5_beta1000,5,0.05,32,10000,1000,0.7268587574688306,0.0013880346717360544,0.009504509145357469,0.9306211377248964,0.001371782806950371,0.020426904128234245
n5_beta10000,5,0.05,32,10000,10000,0.9067990766614836,0.0013240556143118418,0.07742148655846696,0.892758482454572,0.0014054883270593396,0.14213558044237293
n8_b8192_fixed,8,0.05,8192,200000,10000000.0,0.9088526491387232,0.0011353216192170263,0.4834645018647628,0.7553769911836947,0.001145184106170984,0.8668691574856509
n8_b65536_fixed,8,0.05,65536,148000,10000000.0,0.9900265254378827,0.0011356464363485867,0.19900728038573476,0.9077486719891414,0.0011353758358254014,0.35670156975672934
n10_b65536_fixed,10,0.05,65536,100000,1000000000.0,4.014800202174878e-05,0.0011618599174532053,10.407019880726523,1.0777256431953957e-07,0.0011620164629436388,16.488523294428465
n10_b65536_relative,10,0.0015625,65536,57000,1000000000.0,0.9900454746610079,1.1605935267274708e-06,0.510533018353108,0.9216208971593056,1.2073219545400226e-06,0.9035730324651449
